                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7506,                 4.3741,                 2.3863,                0.17998,                0.03182,                0.01558,                0.00689,                 2.4894,                 4.8307,                 2.2091,               2.78e-05,               2.78e-05,               2.78e-05
                      2,                  2.544,                 3.9755,                 2.2296,                0.63445,                0.06209,                0.08596,                0.04803,                 2.2021,                 4.8916,                 1.9008,             5.9646e-05,             5.9646e-05,             5.9646e-05
                      3,                 1.9171,                 3.1355,                 1.7558,                0.13124,                0.06325,                 0.0946,                0.06146,                 1.7846,                 7.7525,                 1.5925,             8.9841e-05,             8.9841e-05,             8.9841e-05
                      4,                 1.7556,                 2.7617,                 1.6331,                0.45984,                0.22871,                0.20202,                0.12147,                 1.6483,                 4.5521,                 1.5351,             0.00011838,             0.00011838,             0.00011838
                      5,                 1.6195,                 2.5623,                 1.5411,                0.72898,                0.22459,                0.24014,                0.13781,                 1.5958,                  4.022,                 1.5426,             0.00014528,             0.00014528,             0.00014528
                      6,                 1.4561,                 2.3197,                 1.4536,                0.48354,                0.29353,                0.28226,                0.16004,                 1.5106,                 2.8718,                 1.4815,             0.00017052,             0.00017052,             0.00017052
                      7,                 1.3696,                 2.1321,                 1.3934,                0.51004,                0.34706,                0.29793,                0.17559,                 1.4909,                 3.0256,                 1.4397,             0.00019411,             0.00019411,             0.00019411
                      8,                  1.295,                 2.0504,                 1.3585,                0.39921,                0.28613,                0.24565,                0.13548,                 1.8084,                 4.1095,                 1.6351,             0.00021605,             0.00021605,             0.00021605
                      9,                 1.1935,                 1.9163,                 1.2977,                0.32055,                0.37725,                0.35649,                0.19872,                 1.4847,                 3.2114,                 1.4974,             0.00023633,             0.00023633,             0.00023633
                     10,                 1.1889,                 1.8564,                 1.2987,                0.44091,                0.36391,                0.40777,                0.25155,                 1.3558,                 2.3346,                 1.4065,             0.00025497,             0.00025497,             0.00025497
                     11,                 1.1651,                 1.8143,                 1.2752,                0.38972,                 0.4498,                0.41294,                0.26355,                 1.2972,                 2.1636,                 1.3767,             0.00027195,             0.00027195,             0.00027195
                     12,                 1.1383,                 1.7714,                  1.298,                0.26057,                0.58182,                0.41049,                0.25335,                 1.3352,                 2.2143,                 1.4041,             0.00028729,             0.00028729,             0.00028729
                     13,                 1.1031,                 1.7233,                  1.241,                0.59338,                0.33027,                0.35647,                0.22531,                 1.4789,                 2.5971,                 1.4933,             0.00030097,             0.00030097,             0.00030097
                     14,                 1.0978,                 1.6379,                 1.2428,                0.34457,                0.40262,                0.35099,                0.20595,                 1.4949,                 2.4132,                 1.5257,               0.000313,               0.000313,               0.000313
                     15,                 1.0746,                 1.5815,                 1.2431,                0.47596,                 0.4293,                0.44146,                0.27144,                 1.3597,                  1.847,                 1.4221,             0.00032338,             0.00032338,             0.00032338
                     16,                 1.0706,                 1.5765,                 1.2173,                0.49665,                0.55102,                0.50058,                0.32445,                 1.2466,                 1.5608,                 1.3523,             0.00033211,             0.00033211,             0.00033211
                     17,                 1.0663,                 1.5741,                 1.2252,                0.50626,                0.53724,                0.50192,                0.33296,                 1.1612,                 1.5445,                 1.2994,             0.00033582,             0.00033582,             0.00033582
                     18,                 1.0602,                 1.5419,                 1.2347,                0.53598,                0.51662,                0.50558,                0.33333,                 1.1216,                 1.5663,                 1.2638,             0.00033582,             0.00033582,             0.00033582
                     19,                 1.0336,                 1.4975,                  1.223,                0.49307,                0.52929,                0.51261,                  0.348,                 1.0945,                  1.497,                 1.2501,             0.00032206,             0.00032206,             0.00032206
                     20,                0.98973,                 1.4415,                 1.1943,                0.52911,                0.55403,                0.53274,                0.35639,                 1.0677,                 1.3946,                 1.2307,              0.0003083,              0.0003083,              0.0003083
                     21,                0.97641,                 1.3792,                 1.1859,                0.53125,                0.56188,                0.54499,                0.36698,                 1.0865,                 1.3955,                 1.2396,             0.00029454,             0.00029454,             0.00029454
                     22,                 1.0436,                  1.438,                 1.2118,                0.51606,                0.56401,                 0.5261,                0.35462,                 1.1052,                 1.4863,                 1.2645,             0.00028078,             0.00028078,             0.00028078
                     23,                 1.0232,                 1.4091,                 1.2083,                0.54013,                0.53795,                0.55897,                0.37687,                 1.1272,                 1.4613,                 1.2966,             0.00026702,             0.00026702,             0.00026702
                     24,                 1.0008,                  1.353,                 1.1997,                0.52733,                0.59771,                0.56094,                0.37091,                 1.1519,                 1.4564,                 1.2843,             0.00025326,             0.00025326,             0.00025326
                     25,                0.96118,                 1.3349,                 1.1733,                0.53655,                0.56293,                0.55563,                0.37365,                 1.1376,                 1.4455,                 1.2611,              0.0002395,              0.0002395,              0.0002395
                     26,                0.97469,                 1.3107,                 1.1844,                0.55073,                0.56873,                0.58721,                0.39692,                 1.0958,                 1.4022,                 1.2371,             0.00022574,             0.00022574,             0.00022574
                     27,                0.96778,                 1.3288,                 1.1994,                0.55635,                0.55542,                0.59688,                0.40374,                 1.0818,                 1.3431,                 1.2333,             0.00021197,             0.00021197,             0.00021197
                     28,                0.96006,                 1.2935,                 1.1794,                0.55248,                0.59251,                0.59817,                0.41568,                 1.0794,                 1.2609,                 1.2489,             0.00019821,             0.00019821,             0.00019821
                     29,                0.93162,                 1.2914,                 1.1541,                0.54356,                0.57545,                0.61358,                0.43226,                 1.0752,                 1.2349,                 1.2538,             0.00018445,             0.00018445,             0.00018445
                     30,                 0.9583,                 1.2482,                 1.1863,                 0.7289,                0.53476,                 0.6043,                 0.4174,                 1.0382,                 1.2382,                 1.2204,             0.00017069,             0.00017069,             0.00017069
                     31,                0.88922,                 1.2699,                 1.1724,                0.70585,                0.54068,                0.59606,                0.41063,                 1.0328,                 1.2544,                  1.214,             0.00015693,             0.00015693,             0.00015693
                     32,                0.89099,                 1.2219,                 1.1734,                0.65904,                0.50477,                0.54863,                0.39571,                 1.0489,                 1.3098,                 1.2469,             0.00014317,             0.00014317,             0.00014317
                     33,                0.84466,                 1.1708,                 1.1417,                0.66315,                0.50462,                0.54518,                0.38577,                 1.0609,                 1.3641,                 1.2634,             0.00012941,             0.00012941,             0.00012941
                     34,                0.87161,                 1.1982,                 1.1424,                0.56746,                 0.5665,                0.54762,                0.37114,                 1.0856,                 1.4198,                 1.2967,             0.00011565,             0.00011565,             0.00011565
                     35,                0.85347,                 1.1732,                 1.1347,                0.55065,                0.57841,                0.55149,                0.37637,                  1.092,                 1.3697,                 1.2882,             0.00010189,             0.00010189,             0.00010189
                     36,                0.83577,                 1.1081,                 1.1049,                0.60268,                0.58134,                0.59204,                0.40178,                 1.0745,                 1.2853,                 1.2642,             8.8126e-05,             8.8126e-05,             8.8126e-05
                     37,                0.80442,                 1.0429,                 1.1078,                0.63251,                0.56694,                0.60341,                0.41115,                 1.0646,                 1.2746,                 1.2466,             7.4365e-05,             7.4365e-05,             7.4365e-05
                     38,                0.84093,                 1.0864,                 1.1189,                0.63262,                0.56724,                0.60742,                0.41468,                 1.0512,                 1.2676,                 1.2258,             6.0604e-05,             6.0604e-05,             6.0604e-05
                     39,                0.81995,                 1.0491,                 1.1261,                0.62925,                0.57215,                0.60689,                 0.4146,                 1.0511,                 1.2672,                 1.2194,             4.6843e-05,             4.6843e-05,             4.6843e-05
                     40,                0.82395,                 1.0458,                 1.1201,                0.50239,                0.66941,                0.60891,                0.41748,                  1.041,                  1.244,                 1.2032,             3.3082e-05,             3.3082e-05,             3.3082e-05
